stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
-1;-1;-1;1;2;3;4;5;6;7;8;9;10
1;1;2016;7800;5427;4000;3029;3674;4418;99999;4256;1000;600
2;2;2016;7800;5428;4000;3029;3668;4424;99999;4151;1000;600
3;3;2016;7800;5428;4000;3029;3665;4426;99999;4226;1000;600
4;4;2016;7800;5428;4000;3029;3667;4425;99999;4270;1000;600
5;5;2016;7800;5427;4000;3471;3674;4418;99999;4208;1000;600
6;6;2016;7800;5429;4000;3471;3658;4433;99999;4020;1000;600
7;7;2016;7800;5428;4000;3471;3665;4426;99999;4111;1000;1000
8;8;2016;7800;5429;4000;3471;3656;4435;99999;4344;1000;1000
9;9;2016;7800;5428;4000;3471;3667;4425;99999;4447;1000;1000
10;10;2016;7800;5427;4000;3471;3674;4419;99999;4328;1000;1000
11;11;2016;7800;5427;4000;3029;3676;4417;99999;4271;1000;1000
12;12;2016;7800;5429;4000;3029;3656;4435;99999;4208;1000;1000
13;1;2017;7800;5428;4000;3029;3665;4426;99999;4296;1000;1000
14;2;2017;7800;5428;4000;3029;4752;6065;99999;4341;2000;1752
15;3;2017;7800;5429;4000;3029;4743;6083;99999;4417;2000;1743
16;4;2017;7800;5426;4000;3029;4763;6044;99999;4463;2000;1763
17;5;2017;7800;5428;4000;3471;4749;6071;99999;4399;2000;1749
18;6;2017;7800;5428;4000;3471;4750;6069;99999;4205;2000;1750
19;7;2017;7800;5428;4000;3471;4749;6071;99999;4299;2000;1749
20;8;2017;7800;5429;4000;3471;4743;6083;99999;4540;2000;1743
21;9;2017;7800;5428;4000;3471;4750;6069;99999;4646;2000;1750
22;10;2017;7800;5427;4000;3471;4755;6935;99999;4523;2423;1871
23;11;2017;8483;6327;4000;3029;4757;6930;99999;4465;2422;1874
24;12;2017;8484;6327;4000;3029;4755;6934;99999;4399;2422;1872
25;1;2018;8488;6328;4000;3029;4749;6953;99999;4493;2426;1861
26;2;2018;8486;6328;4000;3029;4752;6944;99999;4539;2424;1866
27;3;2018;8488;6328;7200;7029;6784;7079;99999;4767;2426;1861
28;4;2018;8483;6327;7200;7029;6809;7052;99999;4826;2422;1874
29;5;2018;8484;6327;7200;7471;6805;7056;99999;4749;2422;1872
30;6;2018;8493;6329;7200;7471;6766;7098;99999;4548;2428;1851
31;7;2018;8488;6328;7200;7471;6784;7079;99999;4634;2426;1861
32;8;2018;8493;6329;7200;7471;6763;7101;99999;4888;2429;1849
33;9;2018;8483;6327;7200;7471;6809;7052;99999;5020;2422;1874
34;10;2018;8489;6328;7200;7471;6783;7080;99999;4898;2426;1860
35;11;2018;8483;6327;7200;7029;6809;7052;99999;4839;2422;1874
36;12;2018;9917;6327;7200;7029;6805;7056;99999;4765;2422;1872
37;1;2019;9949;6328;7200;7029;6784;7079;99999;4848;2426;1861
38;2;2019;9969;6329;7200;7029;6771;7092;99999;4898;2428;1854
39;3;2019;9917;6327;7200;7029;6805;7056;99999;4982;2422;1872
40;4;2019;9944;6328;7200;7029;6788;7075;99999;5032;2425;1863
41;5;2019;9949;6328;7200;7471;6784;7079;99999;4962;2426;1861
42;6;2019;9910;6327;7200;7471;6809;7052;99999;4748;2422;1874
43;7;2019;9982;6329;7200;7471;6763;7101;99999;4851;2429;1849
44;8;2019;9982;6329;7200;7471;6763;7101;99999;5117;2429;1849
45;9;2019;9910;6327;7200;7471;6809;7052;99999;5234;2422;1874
46;10;2019;9951;6328;7200;7471;6783;7080;99999;5099;2426;1860
47;11;2019;9910;6327;7200;7029;6809;7052;99999;5034;2422;1874
48;12;2019;9917;6327;7200;7029;6805;7056;99999;4962;2422;1872
49;1;2020;9949;6328;10400;11029;6784;7079;99999;5557;2426;1861
50;2;2020;9940;6328;10400;11029;6791;7072;99999;5612;2425;1864
51;3;2020;9949;6328;10400;11029;6784;7079;99999;5707;2426;1861
52;4;2020;9910;6327;10400;11029;6809;7052;99999;5763;2422;1874
53;5;2020;9917;6327;10400;11471;6805;7056;99999;5684;2422;1872
54;6;2020;9944;6328;10400;11471;6788;7075;99999;5446;2425;1863
55;7;2020;9982;6329;10400;11471;6763;7101;99999;5561;2429;1849
56;8;2020;9949;6328;10400;11471;6784;7079;99999;5857;2426;1861
57;9;2020;9944;6328;10400;11471;6788;7075;99999;5988;2425;1863
58;10;2020;9951;6328;10400;11471;6783;7080;99999;5837;2426;1860
59;11;2020;9910;6327;10400;11029;6809;7052;99999;5765;2422;1874
60;12;2020;9949;6328;10400;11029;6784;7079;99999;5684;2426;1861
61;1;2021;9949;6328;10400;11029;6784;7079;99999;5557;2426;1861
62;2;2021;9940;6328;10400;11029;6791;7072;99999;5612;2425;1864
63;3;2021;9949;6328;10400;11029;6784;7079;99999;5707;2426;1861
64;4;2021;9910;6327;10400;11029;6809;7052;99999;5763;2422;1874
65;5;2021;9917;6327;10400;11471;6805;7056;99999;5684;2422;1872
66;6;2021;9944;6328;10400;11471;6788;7075;99999;5446;2425;1863
67;7;2021;9982;6329;10400;11471;6763;7101;99999;5561;2429;1849
68;8;2021;9949;6328;10400;11471;6784;7079;99999;5857;2426;1861
69;9;2021;9944;6328;10400;11471;6788;7075;99999;5988;2425;1863
70;10;2021;9951;6328;10400;11471;6783;7080;99999;5837;2426;1860
71;11;2021;9910;6327;10400;11029;6809;7052;99999;5765;2422;1874
72;12;2021;9949;6328;10400;11029;6784;7079;99999;5684;2426;1861
73;1;2022;9949;6328;10400;11029;6784;7079;99999;5557;2426;1861
74;2;2022;9940;6328;10400;11029;6791;7072;99999;5612;2425;1864
75;3;2022;9949;6328;10400;11029;6784;7079;99999;5707;2426;1861
76;4;2022;9910;6327;10400;11029;6809;7052;99999;5763;2422;1874
77;5;2022;9917;6327;10400;11471;6805;7056;99999;5684;2422;1872
78;6;2022;9944;6328;10400;11471;6788;7075;99999;5446;2425;1863
79;7;2022;9982;6329;10400;11471;6763;7101;99999;5561;2429;1849
80;8;2022;9949;6328;10400;11471;6784;7079;99999;5857;2426;1861
81;9;2022;9944;6328;10400;11471;6788;7075;99999;5988;2425;1863
82;10;2022;9951;6328;10400;11471;6783;7080;99999;5837;2426;1860
83;11;2022;9910;6327;10400;11029;6809;7052;99999;5765;2422;1874
84;12;2022;9949;6328;10400;11029;6784;7079;99999;5684;2426;1861
85;1;2023;9949;6328;10400;11029;6784;7079;99999;5557;2426;1861
86;2;2023;9940;6328;10400;11029;6791;7072;99999;5612;2425;1864
87;3;2023;9949;6328;10400;11029;6784;7079;99999;5707;2426;1861
88;4;2023;9910;6327;10400;11029;6809;7052;99999;5763;2422;1874
89;5;2023;9917;6327;10400;11471;6805;7056;99999;5684;2422;1872
90;6;2023;9944;6328;10400;11471;6788;7075;99999;5446;2425;1863
91;7;2023;9982;6329;10400;11471;6763;7101;99999;5561;2429;1849
92;8;2023;9949;6328;10400;11471;6784;7079;99999;5857;2426;1861
93;9;2023;9944;6328;10400;11471;6788;7075;99999;5988;2425;1863
94;10;2023;9951;6328;10400;11471;6783;7080;99999;5837;2426;1860
95;11;2023;9910;6327;10400;11029;6809;7052;99999;5765;2422;1874
96;12;2023;9949;6328;10400;11029;6784;7079;99999;5684;2426;1861
97;1;2024;9949;6328;10400;11029;6784;7079;99999;5557;2426;1861
98;2;2024;9940;6328;10400;11029;6791;7072;99999;5612;2425;1864
99;3;2024;9949;6328;10400;11029;6784;7079;99999;5707;2426;1861
100;4;2024;9910;6327;10400;11029;6809;7052;99999;5763;2422;1874
101;5;2024;9917;6327;10400;11471;6805;7056;99999;5684;2422;1872
102;6;2024;9944;6328;10400;11471;6788;7075;99999;5446;2425;1863
103;7;2024;9982;6329;10400;11471;6763;7101;99999;5561;2429;1849
104;8;2024;9949;6328;10400;11471;6784;7079;99999;5857;2426;1861
105;9;2024;9944;6328;10400;11471;6788;7075;99999;5988;2425;1863
106;10;2024;9951;6328;10400;11471;6783;7080;99999;5837;2426;1860
107;11;2024;9910;6327;10400;11029;6809;7052;99999;5765;2422;1874
108;12;2024;9949;6328;10400;11029;6784;7079;99999;5684;2426;1861
109;1;2025;9949;6328;10400;11029;6784;7079;99999;5557;2426;1861
110;2;2025;9940;6328;10400;11029;6791;7072;99999;5612;2425;1864
111;3;2025;9949;6328;10400;11029;6784;7079;99999;5707;2426;1861
112;4;2025;9910;6327;10400;11029;6809;7052;99999;5763;2422;1874
113;5;2025;9917;6327;10400;11471;6805;7056;99999;5684;2422;1872
114;6;2025;9944;6328;10400;11471;6788;7075;99999;5446;2425;1863
115;7;2025;9982;6329;10400;11471;6763;7101;99999;5561;2429;1849
116;8;2025;9949;6328;10400;11471;6784;7079;99999;5857;2426;1861
117;9;2025;9944;6328;10400;11471;6788;7075;99999;5988;2425;1863
118;10;2025;9951;6328;10400;11471;6783;7080;99999;5837;2426;1860
119;11;2025;9910;6327;10400;11029;6809;7052;99999;5765;2422;1874
120;12;2025;9949;6328;10400;11029;6784;7079;99999;5684;2426;1861
end;;;;;;;;;;;;
