num_load_level;;;;;;;
1;;;;;;;
stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
-1;-1;-1;1;2;3;4;5
1;1;2016;1.1181;1.0287;1.0848;1.063;1
2;2;2016;1.0915;1.0096;1.0916;1.0576;1
3;3;2016;1.1228;1.0761;1.0914;1.0564;1
4;4;2016;1.1542;1.1437;1.0889;1.0593;1
5;5;2016;1.2037;1.1758;1.096;1.0817;1
6;6;2016;1.1884;1.1781;1.1054;1.0753;1
7;7;2016;1.2019;1.1881;1.1112;1.0726;1
8;8;2016;1.1818;1.1617;1.105;1.0619;1
9;9;2016;1.1684;1.1662;1.1038;1.0622;1
10;10;2016;1.1422;1.1317;1.1005;1.0697;1
11;11;2016;1.1281;1.0682;1.0916;1.0664;1
12;12;2016;1.0931;1.041;1.0891;1.0665;1
13;1;2017;1.1137;1.0243;1.082;1.0617;1
14;2;2017;1.0923;1.0103;1.0922;1.0578;1
15;3;2017;1.1184;1.0713;1.0882;1.055;1
16;4;2017;1.1644;1.1565;1.0958;1.0624;1
17;5;2017;1.198;1.1693;1.0926;1.0798;1
18;6;2017;1.1939;1.185;1.1089;1.077;1
19;7;2017;1.2019;1.1881;1.1112;1.0726;1
20;8;2017;1.1818;1.1617;1.105;1.0619;1
21;9;2017;1.1684;1.1662;1.1038;1.0622;1
22;10;2017;1.1422;1.1317;1.1005;1.0697;1
23;11;2017;1.1281;1.0682;1.0916;1.0664;1
24;12;2017;1.1007;1.0493;1.0944;1.0689;1
25;1;2018;1.1137;1.0243;1.082;1.0617;1
26;2;2018;1.0923;1.0103;1.0922;1.0578;1
27;3;2018;1.1228;1.0761;1.0914;1.0564;1
28;4;2018;1.1593;1.1501;1.0923;1.0609;1
29;5;2018;1.2037;1.1758;1.096;1.0817;1
30;6;2018;1.1884;1.1781;1.1054;1.0753;1
31;7;2018;1.2019;1.1881;1.1112;1.0726;1
32;8;2018;1.1818;1.1617;1.105;1.0619;1
33;9;2018;1.1737;1.1728;1.1075;1.0637;1
34;10;2018;1.1374;1.1255;1.0968;1.0682;1
35;11;2018;1.1281;1.0682;1.0916;1.0664;1
36;12;2018;1.1007;1.0493;1.0944;1.0689;1
37;1;2019;1.1137;1.0243;1.082;1.0617;1
38;2;2019;1.088;1.0061;1.0891;1.0565;1
39;3;2019;1.1272;1.0811;1.0946;1.0578;1
40;4;2019;1.1542;1.1437;1.0889;1.0593;1
41;5;2019;1.198;1.1693;1.0926;1.0798;1
42;6;2019;1.1995;1.1919;1.1125;1.0788;1
43;7;2019;1.1964;1.1811;1.1076;1.071;1
44;8;2019;1.1818;1.1617;1.105;1.0619;1
45;9;2019;1.1737;1.1728;1.1075;1.0637;1
46;10;2019;1.1374;1.1255;1.0968;1.0682;1
47;11;2019;1.1281;1.0682;1.0916;1.0664;1
48;12;2019;1.1007;1.0493;1.0944;1.0689;1
49;1;2020;1.1137;1.0243;1.082;1.0617;1
50;2;2020;1.0915;1.0096;1.0916;1.0576;1
51;3;2020;1.1228;1.0761;1.0914;1.0564;1
52;4;2020;1.1593;1.1501;1.0923;1.0609;1
53;5;2020;1.2037;1.1758;1.096;1.0817;1
54;6;2020;1.1939;1.185;1.1089;1.077;1
55;7;2020;1.1964;1.1811;1.1076;1.071;1
56;8;2020;1.1872;1.1683;1.1086;1.0634;1
57;9;2020;1.1684;1.1662;1.1038;1.0622;1
58;10;2020;1.1374;1.1255;1.0968;1.0682;1
59;11;2020;1.1281;1.0682;1.0916;1.0664;1
60;12;2020;1.0969;1.0452;1.0918;1.0677;1
61;1;2021;1.1137;1.0243;1.082;1.0617;1
62;2;2021;1.0915;1.0096;1.0916;1.0576;1
63;3;2021;1.1228;1.0761;1.0914;1.0564;1
64;4;2021;1.1593;1.1501;1.0923;1.0609;1
65;5;2021;1.2037;1.1758;1.096;1.0817;1
66;6;2021;1.1939;1.185;1.1089;1.077;1
67;7;2021;1.1964;1.1811;1.1076;1.071;1
68;8;2021;1.1872;1.1683;1.1086;1.0634;1
69;9;2021;1.1684;1.1662;1.1038;1.0622;1
70;10;2021;1.1374;1.1255;1.0968;1.0682;1
71;11;2021;1.1281;1.0682;1.0916;1.0664;1
72;12;2021;1.0969;1.0452;1.0918;1.0677;1
73;1;2022;1.1137;1.0243;1.082;1.0617;1
74;2;2022;1.0915;1.0096;1.0916;1.0576;1
75;3;2022;1.1228;1.0761;1.0914;1.0564;1
76;4;2022;1.1593;1.1501;1.0923;1.0609;1
77;5;2022;1.2037;1.1758;1.096;1.0817;1
78;6;2022;1.1939;1.185;1.1089;1.077;1
79;7;2022;1.1964;1.1811;1.1076;1.071;1
80;8;2022;1.1872;1.1683;1.1086;1.0634;1
81;9;2022;1.1684;1.1662;1.1038;1.0622;1
82;10;2022;1.1374;1.1255;1.0968;1.0682;1
83;11;2022;1.1281;1.0682;1.0916;1.0664;1
84;12;2022;1.0969;1.0452;1.0918;1.0677;1
85;1;2023;1.1137;1.0243;1.082;1.0617;1
86;2;2023;1.0915;1.0096;1.0916;1.0576;1
87;3;2023;1.1228;1.0761;1.0914;1.0564;1
88;4;2023;1.1593;1.1501;1.0923;1.0609;1
89;5;2023;1.2037;1.1758;1.096;1.0817;1
90;6;2023;1.1939;1.185;1.1089;1.077;1
91;7;2023;1.1964;1.1811;1.1076;1.071;1
92;8;2023;1.1872;1.1683;1.1086;1.0634;1
93;9;2023;1.1684;1.1662;1.1038;1.0622;1
94;10;2023;1.1374;1.1255;1.0968;1.0682;1
95;11;2023;1.1281;1.0682;1.0916;1.0664;1
96;12;2023;1.0969;1.0452;1.0918;1.0677;1
97;1;2024;1.1137;1.0243;1.082;1.0617;1
98;2;2024;1.0915;1.0096;1.0916;1.0576;1
99;3;2024;1.1228;1.0761;1.0914;1.0564;1
100;4;2024;1.1593;1.1501;1.0923;1.0609;1
101;5;2024;1.2037;1.1758;1.096;1.0817;1
102;6;2024;1.1939;1.185;1.1089;1.077;1
103;7;2024;1.1964;1.1811;1.1076;1.071;1
104;8;2024;1.1872;1.1683;1.1086;1.0634;1
105;9;2024;1.1684;1.1662;1.1038;1.0622;1
106;10;2024;1.1374;1.1255;1.0968;1.0682;1
107;11;2024;1.1281;1.0682;1.0916;1.0664;1
108;12;2024;1.0969;1.0452;1.0918;1.0677;1
109;1;2025;1.1137;1.0243;1.082;1.0617;1
110;2;2025;1.0915;1.0096;1.0916;1.0576;1
111;3;2025;1.1228;1.0761;1.0914;1.0564;1
112;4;2025;1.1593;1.1501;1.0923;1.0609;1
113;5;2025;1.2037;1.1758;1.096;1.0817;1
114;6;2025;1.1939;1.185;1.1089;1.077;1
115;7;2025;1.1964;1.1811;1.1076;1.071;1
116;8;2025;1.1872;1.1683;1.1086;1.0634;1
117;9;2025;1.1684;1.1662;1.1038;1.0622;1
118;10;2025;1.1374;1.1255;1.0968;1.0682;1
119;11;2025;1.1281;1.0682;1.0916;1.0664;1
120;12;2025;1.0969;1.0452;1.0918;1.0677;1
end;;;;;;;
num_load_level;;;;;;;
2;;;;;;;
stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
-1;-1;-1;1;2;3;4;5
1;1;2016;1.0908;1.1214;1.0557;1.0218;1
2;2;2016;1.0807;1.1074;1.0531;1.0185;1
3;3;2016;1.0825;1.1124;1.0621;1.0237;1
4;4;2016;1.0851;1.1192;1.0675;1.0257;1
5;5;2016;1.0925;1.1252;1.07;1.0344;1
6;6;2016;1.0773;1.111;1.0594;1.0241;1
7;7;2016;1.0831;1.1248;1.0644;1.0262;1
8;8;2016;1.0795;1.1144;1.0636;1.0246;1
9;9;2016;1.0856;1.1171;1.0678;1.0242;1
10;10;2016;1.0923;1.1323;1.0762;1.0244;1
11;11;2016;1.0906;1.1274;1.0603;1.0191;1
12;12;2016;1.0721;1.0992;1.0449;1.0136;1
13;1;2017;1.0864;1.1166;1.0531;1.0205;1
14;2;2017;1.0815;1.1082;1.0537;1.0186;1
15;3;2017;1.0783;1.1073;1.059;1.0223;1
16;4;2017;1.0947;1.1316;1.0744;1.0287;1
17;5;2017;1.0873;1.1189;1.0666;1.0325;1
18;6;2017;1.0823;1.1174;1.0628;1.0258;1
19;7;2017;1.0831;1.1248;1.0644;1.0262;1
20;8;2017;1.0795;1.1144;1.0636;1.0246;1
21;9;2017;1.0856;1.1171;1.0678;1.0242;1
22;10;2017;1.0923;1.1323;1.0762;1.0244;1
23;11;2017;1.0906;1.1274;1.0603;1.0191;1
24;12;2017;1.0795;1.108;1.05;1.0158;1
25;1;2018;1.0864;1.1166;1.0531;1.0205;1
26;2;2018;1.0815;1.1082;1.0537;1.0186;1
27;3;2018;1.0825;1.1124;1.0621;1.0237;1
28;4;2018;1.0899;1.1254;1.0709;1.0272;1
29;5;2018;1.0925;1.1252;1.07;1.0344;1
30;6;2018;1.0773;1.111;1.0594;1.0241;1
31;7;2018;1.0831;1.1248;1.0644;1.0262;1
32;8;2018;1.0795;1.1144;1.0636;1.0246;1
33;9;2018;1.0906;1.1234;1.0713;1.0257;1
34;10;2018;1.0877;1.1261;1.0725;1.0229;1
35;11;2018;1.0906;1.1274;1.0603;1.0191;1
36;12;2018;1.0795;1.108;1.05;1.0158;1
37;1;2019;1.0864;1.1166;1.0531;1.0205;1
38;2;2019;1.0773;1.1036;1.0507;1.0174;1
39;3;2019;1.0868;1.1175;1.0653;1.0249;1
40;4;2019;1.0851;1.1192;1.0675;1.0257;1
41;5;2019;1.0873;1.1189;1.0666;1.0325;1
42;6;2019;1.0874;1.1239;1.0663;1.0273;1
43;7;2019;1.0781;1.1182;1.061;1.0246;1
44;8;2019;1.0795;1.1144;1.0636;1.0246;1
45;9;2019;1.0906;1.1234;1.0713;1.0257;1
46;10;2019;1.0877;1.1261;1.0725;1.0229;1
47;11;2019;1.0906;1.1274;1.0603;1.0191;1
48;12;2019;1.0795;1.108;1.05;1.0158;1
49;1;2020;1.0864;1.1166;1.0531;1.0205;1
50;2;2020;1.0807;1.1074;1.0531;1.0185;1
51;3;2020;1.0825;1.1124;1.0621;1.0237;1
52;4;2020;1.0899;1.1254;1.0709;1.0272;1
53;5;2020;1.0925;1.1252;1.07;1.0344;1
54;6;2020;1.0823;1.1174;1.0628;1.0258;1
55;7;2020;1.0781;1.1182;1.061;1.0246;1
56;8;2020;1.0844;1.1207;1.0671;1.0261;1
57;9;2020;1.0856;1.1171;1.0678;1.0242;1
58;10;2020;1.0877;1.1261;1.0725;1.0229;1
59;11;2020;1.0906;1.1274;1.0603;1.0191;1
60;12;2020;1.0758;1.1035;1.0474;1.0147;1
61;1;2021;1.0864;1.1166;1.0531;1.0205;1
62;2;2021;1.0807;1.1074;1.0531;1.0185;1
63;3;2021;1.0825;1.1124;1.0621;1.0237;1
64;4;2021;1.0899;1.1254;1.0709;1.0272;1
65;5;2021;1.0925;1.1252;1.07;1.0344;1
66;6;2021;1.0823;1.1174;1.0628;1.0258;1
67;7;2021;1.0781;1.1182;1.061;1.0246;1
68;8;2021;1.0844;1.1207;1.0671;1.0261;1
69;9;2021;1.0856;1.1171;1.0678;1.0242;1
70;10;2021;1.0877;1.1261;1.0725;1.0229;1
71;11;2021;1.0906;1.1274;1.0603;1.0191;1
72;12;2021;1.0758;1.1035;1.0474;1.0147;1
73;1;2022;1.0864;1.1166;1.0531;1.0205;1
74;2;2022;1.0807;1.1074;1.0531;1.0185;1
75;3;2022;1.0825;1.1124;1.0621;1.0237;1
76;4;2022;1.0899;1.1254;1.0709;1.0272;1
77;5;2022;1.0925;1.1252;1.07;1.0344;1
78;6;2022;1.0823;1.1174;1.0628;1.0258;1
79;7;2022;1.0781;1.1182;1.061;1.0246;1
80;8;2022;1.0844;1.1207;1.0671;1.0261;1
81;9;2022;1.0856;1.1171;1.0678;1.0242;1
82;10;2022;1.0877;1.1261;1.0725;1.0229;1
83;11;2022;1.0906;1.1274;1.0603;1.0191;1
84;12;2022;1.0758;1.1035;1.0474;1.0147;1
85;1;2023;1.0864;1.1166;1.0531;1.0205;1
86;2;2023;1.0807;1.1074;1.0531;1.0185;1
87;3;2023;1.0825;1.1124;1.0621;1.0237;1
88;4;2023;1.0899;1.1254;1.0709;1.0272;1
89;5;2023;1.0925;1.1252;1.07;1.0344;1
90;6;2023;1.0823;1.1174;1.0628;1.0258;1
91;7;2023;1.0781;1.1182;1.061;1.0246;1
92;8;2023;1.0844;1.1207;1.0671;1.0261;1
93;9;2023;1.0856;1.1171;1.0678;1.0242;1
94;10;2023;1.0877;1.1261;1.0725;1.0229;1
95;11;2023;1.0906;1.1274;1.0603;1.0191;1
96;12;2023;1.0758;1.1035;1.0474;1.0147;1
97;1;2024;1.0864;1.1166;1.0531;1.0205;1
98;2;2024;1.0807;1.1074;1.0531;1.0185;1
99;3;2024;1.0825;1.1124;1.0621;1.0237;1
100;4;2024;1.0899;1.1254;1.0709;1.0272;1
101;5;2024;1.0925;1.1252;1.07;1.0344;1
102;6;2024;1.0823;1.1174;1.0628;1.0258;1
103;7;2024;1.0781;1.1182;1.061;1.0246;1
104;8;2024;1.0844;1.1207;1.0671;1.0261;1
105;9;2024;1.0856;1.1171;1.0678;1.0242;1
106;10;2024;1.0877;1.1261;1.0725;1.0229;1
107;11;2024;1.0906;1.1274;1.0603;1.0191;1
108;12;2024;1.0758;1.1035;1.0474;1.0147;1
109;1;2025;1.0864;1.1166;1.0531;1.0205;1
110;2;2025;1.0807;1.1074;1.0531;1.0185;1
111;3;2025;1.0825;1.1124;1.0621;1.0237;1
112;4;2025;1.0899;1.1254;1.0709;1.0272;1
113;5;2025;1.0925;1.1252;1.07;1.0344;1
114;6;2025;1.0823;1.1174;1.0628;1.0258;1
115;7;2025;1.0781;1.1182;1.061;1.0246;1
116;8;2025;1.0844;1.1207;1.0671;1.0261;1
117;9;2025;1.0856;1.1171;1.0678;1.0242;1
118;10;2025;1.0877;1.1261;1.0725;1.0229;1
119;11;2025;1.0906;1.1274;1.0603;1.0191;1
120;12;2025;1.0758;1.1035;1.0474;1.0147;1
end;;;;;;;
num_load_level;;;;;;;
3;;;;;;;
stage;month;year;num_subsystem;num_subsystem;num_subsystem;num_subsystem;num_subsystem
-1;-1;-1;1;2;3;4;5
1;1;2016;0.8499;0.8329;0.9047;0.955;1
2;2;2016;0.8638;0.8495;0.9018;0.9588;1
3;3;2016;0.8495;0.8207;0.887;0.9509;1
4;4;2016;0.839;0.7945;0.8816;0.9478;1
5;5;2016;0.8255;0.7898;0.8831;0.9336;1
6;6;2016;0.828;0.781;0.8797;0.9413;1
7;7;2016;0.8265;0.7718;0.8783;0.9427;1
8;8;2016;0.825;0.7787;0.8724;0.9442;1
9;9;2016;0.8343;0.7912;0.877;0.9491;1
10;10;2016;0.8412;0.7911;0.8733;0.9497;1
11;11;2016;0.8497;0.8172;0.8984;0.9583;1
12;12;2016;0.8633;0.8385;0.9054;0.9593;1
13;1;2017;0.8466;0.8294;0.9024;0.9538;1
14;2;2017;0.8644;0.8501;0.9022;0.9591;1
15;3;2017;0.8462;0.817;0.8844;0.9497;1
16;4;2017;0.8464;0.8034;0.8872;0.9505;1
17;5;2017;0.8216;0.7854;0.8804;0.9319;1
18;6;2017;0.8318;0.7856;0.8825;0.9428;1
19;7;2017;0.8265;0.7718;0.8783;0.9427;1
20;8;2017;0.825;0.7787;0.8724;0.9442;1
21;9;2017;0.8343;0.7912;0.877;0.9491;1
22;10;2017;0.8412;0.7911;0.8733;0.9497;1
23;11;2017;0.8497;0.8172;0.8984;0.9583;1
24;12;2017;0.8693;0.8452;0.9098;0.9614;1
25;1;2018;0.8466;0.8294;0.9024;0.9538;1
26;2;2018;0.8644;0.8501;0.9022;0.9591;1
27;3;2018;0.8495;0.8207;0.887;0.9509;1
28;4;2018;0.8427;0.7989;0.8844;0.9491;1
29;5;2018;0.8255;0.7898;0.8831;0.9336;1
30;6;2018;0.828;0.781;0.8797;0.9413;1
31;7;2018;0.8265;0.7718;0.8783;0.9427;1
32;8;2018;0.825;0.7787;0.8724;0.9442;1
33;9;2018;0.8381;0.7957;0.88;0.9504;1
34;10;2018;0.8376;0.7868;0.8704;0.9484;1
35;11;2018;0.8497;0.8172;0.8984;0.9583;1
36;12;2018;0.8693;0.8452;0.9098;0.9614;1
37;1;2019;0.8466;0.8294;0.9024;0.9538;1
38;2;2019;0.861;0.8466;0.8996;0.9579;1
39;3;2019;0.8529;0.8244;0.8896;0.9522;1
40;4;2019;0.839;0.7945;0.8816;0.9478;1
41;5;2019;0.8216;0.7854;0.8804;0.9319;1
42;6;2019;0.8357;0.7902;0.8853;0.9444;1
43;7;2019;0.8227;0.7672;0.8755;0.9413;1
44;8;2019;0.825;0.7787;0.8724;0.9442;1
45;9;2019;0.8381;0.7957;0.88;0.9504;1
46;10;2019;0.8376;0.7868;0.8704;0.9484;1
47;11;2019;0.8497;0.8172;0.8984;0.9583;1
48;12;2019;0.8693;0.8452;0.9098;0.9614;1
49;1;2020;0.8466;0.8294;0.9024;0.9538;1
50;2;2020;0.8638;0.8495;0.9018;0.9588;1
51;3;2020;0.8495;0.8207;0.887;0.9509;1
52;4;2020;0.8427;0.7989;0.8844;0.9491;1
53;5;2020;0.8255;0.7898;0.8831;0.9336;1
54;6;2020;0.8318;0.7856;0.8825;0.9428;1
55;7;2020;0.8227;0.7672;0.8755;0.9413;1
56;8;2020;0.8288;0.7831;0.8752;0.9455;1
57;9;2020;0.8343;0.7912;0.877;0.9491;1
58;10;2020;0.8376;0.7868;0.8704;0.9484;1
59;11;2020;0.8497;0.8172;0.8984;0.9583;1
60;12;2020;0.8663;0.8419;0.9076;0.9603;1
61;1;2021;0.8466;0.8294;0.9024;0.9538;1
62;2;2021;0.8638;0.8495;0.9018;0.9588;1
63;3;2021;0.8495;0.8207;0.887;0.9509;1
64;4;2021;0.8427;0.7989;0.8844;0.9491;1
65;5;2021;0.8255;0.7898;0.8831;0.9336;1
66;6;2021;0.8318;0.7856;0.8825;0.9428;1
67;7;2021;0.8227;0.7672;0.8755;0.9413;1
68;8;2021;0.8288;0.7831;0.8752;0.9455;1
69;9;2021;0.8343;0.7912;0.877;0.9491;1
70;10;2021;0.8376;0.7868;0.8704;0.9484;1
71;11;2021;0.8497;0.8172;0.8984;0.9583;1
72;12;2021;0.8663;0.8419;0.9076;0.9603;1
73;1;2022;0.8466;0.8294;0.9024;0.9538;1
74;2;2022;0.8638;0.8495;0.9018;0.9588;1
75;3;2022;0.8495;0.8207;0.887;0.9509;1
76;4;2022;0.8427;0.7989;0.8844;0.9491;1
77;5;2022;0.8255;0.7898;0.8831;0.9336;1
78;6;2022;0.8318;0.7856;0.8825;0.9428;1
79;7;2022;0.8227;0.7672;0.8755;0.9413;1
80;8;2022;0.8288;0.7831;0.8752;0.9455;1
81;9;2022;0.8343;0.7912;0.877;0.9491;1
82;10;2022;0.8376;0.7868;0.8704;0.9484;1
83;11;2022;0.8497;0.8172;0.8984;0.9583;1
84;12;2022;0.8663;0.8419;0.9076;0.9603;1
85;1;2023;0.8466;0.8294;0.9024;0.9538;1
86;2;2023;0.8638;0.8495;0.9018;0.9588;1
87;3;2023;0.8495;0.8207;0.887;0.9509;1
88;4;2023;0.8427;0.7989;0.8844;0.9491;1
89;5;2023;0.8255;0.7898;0.8831;0.9336;1
90;6;2023;0.8318;0.7856;0.8825;0.9428;1
91;7;2023;0.8227;0.7672;0.8755;0.9413;1
92;8;2023;0.8288;0.7831;0.8752;0.9455;1
93;9;2023;0.8343;0.7912;0.877;0.9491;1
94;10;2023;0.8376;0.7868;0.8704;0.9484;1
95;11;2023;0.8497;0.8172;0.8984;0.9583;1
96;12;2023;0.8663;0.8419;0.9076;0.9603;1
97;1;2024;0.8466;0.8294;0.9024;0.9538;1
98;2;2024;0.8638;0.8495;0.9018;0.9588;1
99;3;2024;0.8495;0.8207;0.887;0.9509;1
100;4;2024;0.8427;0.7989;0.8844;0.9491;1
101;5;2024;0.8255;0.7898;0.8831;0.9336;1
102;6;2024;0.8318;0.7856;0.8825;0.9428;1
103;7;2024;0.8227;0.7672;0.8755;0.9413;1
104;8;2024;0.8288;0.7831;0.8752;0.9455;1
105;9;2024;0.8343;0.7912;0.877;0.9491;1
106;10;2024;0.8376;0.7868;0.8704;0.9484;1
107;11;2024;0.8497;0.8172;0.8984;0.9583;1
108;12;2024;0.8663;0.8419;0.9076;0.9603;1
109;1;2025;0.8466;0.8294;0.9024;0.9538;1
110;2;2025;0.8638;0.8495;0.9018;0.9588;1
111;3;2025;0.8495;0.8207;0.887;0.9509;1
112;4;2025;0.8427;0.7989;0.8844;0.9491;1
113;5;2025;0.8255;0.7898;0.8831;0.9336;1
114;6;2025;0.8318;0.7856;0.8825;0.9428;1
115;7;2025;0.8227;0.7672;0.8755;0.9413;1
116;8;2025;0.8288;0.7831;0.8752;0.9455;1
117;9;2025;0.8343;0.7912;0.877;0.9491;1
118;10;2025;0.8376;0.7868;0.8704;0.9484;1
119;11;2025;0.8497;0.8172;0.8984;0.9583;1
120;12;2025;0.8663;0.8419;0.9076;0.9603;1
end;;;;;;;
end;;;;;;;
